WEEK\DAYS,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Grand Total
WEEK-01,-,-,-,-,415,1107,1065,2587
WEEK-02,1894,1759,1605,1640,1455,1009,1007,10369
WEEK-03,1755,1615,1534,1557,1402,1073,904,9840
WEEK-04,1462,1475,1352,1405,1324,1012,908,8938
WEEK-05,1763,1420,1504,1432,1099,875,883,8976
WEEK-06,344,873,1505,1388,1245,900,567,6822
WEEK-07,1345,1090,1061,931,934,671,585,6617
WEEK-08,860,1110,1006,591,855,681,792,5895
WEEK-09,1117,1073,1023,1027,943,625,734,6542
WEEK-10,1174,936,956,934,888,594,595,6077
WEEK-11,1107,1086,958,964,937,627,644,6323
WEEK-12,1063,986,941,857,902,660,710,6119
WEEK-13,1215,1027,1048,1147,999,632,574,6642
WEEK-14,1043,938,959,861,847,638,497,5783
WEEK-15,1039,933,868,813,803,564,462,5482
WEEK-16,853,775,722,640,595,411,357,4353
WEEK-17,641,518,513,489,438,308,270,3177
WEEK-18,498,391,418,392,322,190,220,2431
WEEK-19,316,297,243,268,225,121,106,1576
WEEK-20,207,216,196,147,145,94,99,1104
WEEK-21,151,138,129,134,115,81,63,811
WEEK-22,105,102,81,62,67,32,34,483
WEEK-23,35,59,70,62,66,44,35,371
WEEK-24,64,55,58,46,44,28,35,330
WEEK-25,54,37,46,52,59,29,33,310
WEEK-26,40,50,48,51,61,37,28,315
WEEK-27,49,53,75,63,60,41,32,373
WEEK-28,62,125,147,110,111,63,79,697
WEEK-29,176,152,185,171,183,109,141,1117
WEEK-30,276,233,309,326,319,188,214,1865
WEEK-31,423,406,384,444,427,263,294,2641
WEEK-32,518,489,522,517,520,373,321,3260
WEEK-33,626,536,546,578,499,348,422,3555
WEEK-34,628,595,555,543,505,338,276,3440
WEEK-35,642,613,570,525,464,296,343,3453
WEEK-36,583,531,487,478,429,255,334,3097
WEEK-37,274,434,466,630,504,335,504,3147
WEEK-38,633,609,550,451,559,357,464,3623
WEEK-39,545,397,509,513,452,309,333,3058
WEEK-40,518,355,369,455,408,280,458,2843
WEEK-41,512,507,487,406,451,250,308,2921
WEEK-42,363,464,409,426,322,194,260,2438
WEEK-43,364,314,294,341,261,162,198,1934
WEEK-44,363,238,288,311,230,158,199,1787
WEEK-45,314,302,300,349,290,198,205,1958
WEEK-46,401,358,363,347,372,241,258,2340
WEEK-47,428,430,432,428,353,279,293,2643
WEEK-48,517,482,460,189,364,302,318,2632
WEEK-49,661,577,700,629,579,382,463,3991
WEEK-50,849,895,982,912,983,619,870,6110
WEEK-51,2390,3421,4123,4514,4275,3243,3437,25403
WEEK-52,8933,9446,9452,9606,5572,2344,7215,52568
WEEK-53,15029,14203,14298,13483,8744,-,-,65757
Grand Total,57222,56124,57106,55635,45421,24970,30446,326924
